,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
1255,1.0522218,7583980.0,1887163300.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0022963092,0.00035818666,1.5844176e-05,3.952111e-06,0.00010109586,
1256,48.876087,128.62495,142.60054,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,5.4809916e-05,9.49377e-06,2.4040692e-05,2.5652938e-05,0.00030070115,
1257,3847.5264,0.97104913,56534.36,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,2.2753384e-05,8.842422e-06,0.000553885,1.8325843e-05,0.039229676,
1258,598.9615,5.9208713,0.01433721,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,5.4809916e-05,1.87601e-05,4.6883913e-05,0.00011464348,1.3557278e-05,
1259,0.00013801683,0.63607687,19241.34,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,9.739043e-05,1.061545e-06,5.0499505e-10,1.602953e-05,0.024106283,
1260,0.08565174,115.580826,1893.1422,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,2.2753384e-05,9.675887e-06,2.6263478e-09,3.2066393e-05,0.005368896,
1261,46.006054,11.307105,629.69806,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,2.2753384e-05,5.0320655e-06,9.313486e-07,4.919903e-05,0.008906365,
1262,0.08292347,0.03689995,0.0017535853,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,0.0008424025,1.4580444e-08,0.00031823793,0.000471327,0.00064090104,
1263,1.9586375e-06,0.020915417,0.17526072,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,3.4650755e-06,6.4410266e-08,1.476001e-07,8.546235e-08,0.0010846644,
1264,10185.781,0.21256681,9.108711,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,2.1224153e-06,0.0011936334,0.0024559246,0.001815568,0.001899465,
1265,68.950676,0.08332537,201802.88,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,0.0008424025,4.972221e-07,2.6471957e-05,3.205027e-05,0.043087143,
1266,2.1358815e-08,1.9547768e-05,0.13229376,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,6.559264e-07,1.5688145e-05,2.142057e-07,4.5035063e-06,3.6884187e-05,
1267,0.23155724,0.067269325,118931.38,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,5.901323e-06,1.5906386e-06,2.4557866e-07,4.6210413e-09,0.011845738,
1268,3.2043493,0.02399951,0.34519076,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,4.5534766e-06,9.950472e-09,5.710276e-05,2.6961941e-05,0.008114653,
1269,0.29100624,3.8361943,100.49394,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0022963092,1.2998114e-06,1.8999444e-06,2.2158923e-05,0.00019574293,
1270,4.8384245e-05,0.14336175,0.4570349,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,6.3756124e-06,8.320185e-08,1.0050104e-06,2.2200355e-05,0.0023870317,
1271,1.0522218,7583980.0,1887163300.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0022963092,0.00035818666,1.5844176e-05,3.952111e-06,0.00010109586,
1272,48.876087,128.62495,142.60054,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,5.4809916e-05,9.49377e-06,2.4040692e-05,2.5652938e-05,0.00030070115,
1273,3847.5264,0.97104913,56534.36,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,2.2753384e-05,8.842422e-06,0.000553885,1.8325843e-05,0.039229676,
1274,598.9615,5.9208713,0.01433721,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,5.4809916e-05,1.87601e-05,4.6883913e-05,0.00011464348,1.3557278e-05,
1275,0.00013801683,0.63607687,19241.34,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,9.739043e-05,1.061545e-06,5.0499505e-10,1.602953e-05,0.024106283,
1276,0.08565174,115.580826,1893.1422,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,2.2753384e-05,9.675887e-06,2.6263478e-09,3.2066393e-05,0.005368896,
1277,46.006054,11.307105,629.69806,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,2.2753384e-05,5.0320655e-06,9.313486e-07,4.919903e-05,0.008906365,
1278,0.08292347,0.03689995,0.0017535853,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,0.0008424025,1.4580444e-08,0.00031823793,0.000471327,0.00064090104,
1279,1.9586375e-06,0.020915417,0.17526072,,14826,4659,,0.0552642,4.4843427e-09,4.7249955e-06,5.8690064e-05,0.0888929,,3.4650755e-06,6.4410266e-08,1.476001e-07,8.546235e-08,0.0010846644,
1280,10185.781,0.21256681,9.108711,,2732,225,,6.519211e-07,0.0029628454,7.849754e-07,0.0034409552,8.401103e-05,,2.1224153e-06,0.0011936334,0.0024559246,0.001815568,0.001899465,
1281,68.950676,0.08332537,201802.88,,4893,1029,,7.584291e-05,1.8462028e-06,4.2643437e-06,0.00010359181,5.7503115e-08,,0.0008424025,4.972221e-07,2.6471957e-05,3.205027e-05,0.043087143,
1282,2.1358815e-08,1.9547768e-05,0.13229376,,6114,963,,0.0064403657,0.0006242679,0.0010214061,0.0057896753,7.0065053e-06,,6.559264e-07,1.5688145e-05,2.142057e-07,4.5035063e-06,3.6884187e-05,
1283,0.23155724,0.067269325,118931.38,,19863,4470,,1.2741742e-06,9.183791e-09,4.9119376e-06,1.1897954e-05,1.7251035e-05,,5.901323e-06,1.5906386e-06,2.4557866e-07,4.6210413e-09,0.011845738,
1284,3.2043493,0.02399951,0.34519076,,4893,4468,,1.133778e-06,6.384668e-06,7.157022e-05,1.7508709e-06,3.663668e-05,,4.5534766e-06,9.950472e-09,5.710276e-05,2.6961941e-05,0.008114653,
1285,0.29100624,3.8361943,100.49394,,4893,3422,,0.027655378,2.2580834e-06,5.4211245e-07,3.3249753e-06,1.121209e-06,,0.0022963092,1.2998114e-06,1.8999444e-06,2.2158923e-05,0.00019574293,
1286,4.8384245e-05,0.14336175,0.4570349,,4893,3686,,1.7890463e-05,1.02929325e-05,0.007402304,1.2517582e-06,4.2218486e-05,,6.3756124e-06,8.320185e-08,1.0050104e-06,2.2200355e-05,0.0023870317,
1287,1.0522218,7583980.0,1887163300.0,,11709,16247,,0.027655378,6.0653295e-11,1.2502969e-06,3.0774215e-06,3.1635807e-07,,0.0022963092,0.00035818666,1.5844176e-05,3.952111e-06,0.00010109586,
1288,48.876087,128.62495,142.60054,,4893,1558,,7.754631e-06,7.674629e-07,3.4765503e-06,2.467137e-06,2.6085265e-05,,5.4809916e-05,9.49377e-06,2.4040692e-05,2.5652938e-05,0.00030070115,
1289,3847.5264,0.97104913,56534.36,,14232,6114,,4.3795167e-06,1.7260014e-05,7.479246e-07,9.668362e-06,3.5549408e-07,,2.2753384e-05,8.842422e-06,0.000553885,1.8325843e-05,0.039229676,
1290,598.9615,5.9208713,0.01433721,,14232,279,,7.754631e-06,4.2059535e-05,5.53252e-07,8.636433e-06,0.00042177277,,5.4809916e-05,1.87601e-05,4.6883913e-05,0.00011464348,1.3557278e-05,
1291,0.00013801683,0.63607687,19241.34,,4893,4657,,0.00044108194,1.3928649e-05,8.0788976e-07,1.9206161e-06,9.5482626e-08,,9.739043e-05,1.061545e-06,5.0499505e-10,1.602953e-05,0.024106283,
1292,0.08565174,115.580826,1893.1422,,4893,4850,,4.3795167e-06,1.062505e-06,1.5930736e-07,2.526528e-06,2.5826263e-05,,2.2753384e-05,9.675887e-06,2.6263478e-09,3.2066393e-05,0.005368896,
1293,46.006054,11.307105,629.69806,,14232,8652,,4.3795167e-06,5.415854e-07,1.05176106e-07,4.04282e-05,0.00013141577,,2.2753384e-05,5.0320655e-06,9.313486e-07,4.919903e-05,0.008906365,
1294,0.08292347,0.03689995,0.0017535853,,167,11608,,7.584291e-05,7.953271e-07,0.042626448,0.00023416475,0.00670022,,0.0008424025,1.4580444e-08,0.00031823793,0.000471327,0.00064090104,
